"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",32.2878954814334,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",7.7,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2019","2019",7.6,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2020","2020",7.2,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",30.4985562558319,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",7.84271450635538,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",8,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",8,,
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",35.1006495453998,,
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2009","2009",8,,
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2010","2010",8,,
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2011","2011",8,,
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",8,,
