,Country,Indicator,Inequality,Unit,Value
0,Australia,Labour market insecurity,Total,Percentage,3.1
1,Austria,Labour market insecurity,Total,Percentage,2.3
2,Belgium,Labour market insecurity,Total,Percentage,2.4
3,Canada,Labour market insecurity,Total,Percentage,3.8
4,Czech Republic,Labour market insecurity,Total,Percentage,2.3
5,Denmark,Labour market insecurity,Total,Percentage,4.5
6,Finland,Labour market insecurity,Total,Percentage,2.2
7,France,Labour market insecurity,Total,Percentage,3.1
8,Germany,Labour market insecurity,Total,Percentage,1.4
9,Greece,Labour market insecurity,Total,Percentage,21.7
10,Hungary,Labour market insecurity,Total,Percentage,3.8
11,Iceland,Labour market insecurity,Total,Percentage,1.0
12,Ireland,Labour market insecurity,Total,Percentage,2.6
13,Italy,Labour market insecurity,Total,Percentage,8.6
14,Japan,Labour market insecurity,Total,Percentage,2.7
15,Korea,Labour market insecurity,Total,Percentage,2.9
16,Luxembourg,Labour market insecurity,Total,Percentage,2.2
17,Mexico,Labour market insecurity,Total,Percentage,4.0
18,Netherlands,Labour market insecurity,Total,Percentage,2.5
19,New Zealand,Labour market insecurity,Total,Percentage,4.5
20,Norway,Labour market insecurity,Total,Percentage,2.8
21,Poland,Labour market insecurity,Total,Percentage,5.0
22,Portugal,Labour market insecurity,Total,Percentage,8.1
23,Slovak Republic,Labour market insecurity,Total,Percentage,8.8
24,Spain,Labour market insecurity,Total,Percentage,15.8
25,Sweden,Labour market insecurity,Total,Percentage,4.4
26,Türkiye,Labour market insecurity,Total,Percentage,13.0
27,United Kingdom,Labour market insecurity,Total,Percentage,3.3
28,United States,Labour market insecurity,Total,Percentage,4.2
29,Chile,Labour market insecurity,Total,Percentage,7.0
30,Estonia,Labour market insecurity,Total,Percentage,5.4
31,Israel,Labour market insecurity,Total,Percentage,4.6
32,Latvia,Labour market insecurity,Total,Percentage,6.3
33,Slovenia,Labour market insecurity,Total,Percentage,5.9
34,OECD - Total,Labour market insecurity,Total,Percentage,5.1
35,Australia,Stakeholder engagement for developing regulations,Total,Average score,2.7
36,Austria,Stakeholder engagement for developing regulations,Total,Average score,1.3
37,Belgium,Stakeholder engagement for developing regulations,Total,Average score,2.0
38,Canada,Stakeholder engagement for developing regulations,Total,Average score,2.9
39,Czech Republic,Stakeholder engagement for developing regulations,Total,Average score,1.6
40,Denmark,Stakeholder engagement for developing regulations,Total,Average score,2.0
41,Finland,Stakeholder engagement for developing regulations,Total,Average score,2.2
42,France,Stakeholder engagement for developing regulations,Total,Average score,2.1
43,Germany,Stakeholder engagement for developing regulations,Total,Average score,1.8
44,Greece,Stakeholder engagement for developing regulations,Total,Average score,1.8
45,Hungary,Stakeholder engagement for developing regulations,Total,Average score,1.2
46,Iceland,Stakeholder engagement for developing regulations,Total,Average score,2.1
47,Ireland,Stakeholder engagement for developing regulations,Total,Average score,1.3
48,Italy,Stakeholder engagement for developing regulations,Total,Average score,2.5
49,Japan,Stakeholder engagement for developing regulations,Total,Average score,1.4
50,Korea,Stakeholder engagement for developing regulations,Total,Average score,2.9
51,Luxembourg,Stakeholder engagement for developing regulations,Total,Average score,1.7
52,Mexico,Stakeholder engagement for developing regulations,Total,Average score,3.2
53,Netherlands,Stakeholder engagement for developing regulations,Total,Average score,2.6
54,New Zealand,Stakeholder engagement for developing regulations,Total,Average score,2.5
55,Norway,Stakeholder engagement for developing regulations,Total,Average score,2.2
56,Poland,Stakeholder engagement for developing regulations,Total,Average score,2.6
57,Portugal,Stakeholder engagement for developing regulations,Total,Average score,1.5
58,Slovak Republic,Stakeholder engagement for developing regulations,Total,Average score,3.0
59,Spain,Stakeholder engagement for developing regulations,Total,Average score,1.8
60,Sweden,Stakeholder engagement for developing regulations,Total,Average score,2.0
61,Switzerland,Stakeholder engagement for developing regulations,Total,Average score,2.3
62,Türkiye,Stakeholder engagement for developing regulations,Total,Average score,1.5
63,United Kingdom,Stakeholder engagement for developing regulations,Total,Average score,3.1
64,United States,Stakeholder engagement for developing regulations,Total,Average score,3.1
65,Brazil,Stakeholder engagement for developing regulations,Total,Average score,2.2
