,Country,Inequality,Feeling safe walking alone at night,Employment rate,Long-term unemployment rate,Quality of support network,Educational attainment,Student skills,Years in education,Water quality,Life expectancy,Self-reported health,Life satisfaction,Homicide rate,Employees working very long hours,Time devoted to leisure and personal care
0,Australia,Men,81.0,77.0,1.0,93.0,84.0,495.0,20.0,93.0,80.9,85.0,7.1,1.3,18.5,14.8
1,Australia,Total,67.0,73.0,1.0,93.0,84.0,499.0,20.0,92.0,83.0,85.0,7.1,0.9,12.5,14.36
2,Australia,Women,54.0,69.0,1.1,94.0,84.0,503.0,21.0,91.0,85.0,86.0,7.2,0.6,6.1,13.65
3,Austria,Men,89.0,76.0,1.5,92.0,88.0,489.0,17.0,91.0,79.7,72.0,7.1,0.5,8.1,14.7
4,Austria,Total,86.0,72.0,1.3,92.0,86.0,491.0,17.0,92.0,82.0,71.0,7.2,0.5,5.3,14.51
5,Austria,Women,82.0,68.0,1.2,93.0,83.0,493.0,17.0,92.0,84.2,71.0,7.3,0.5,2.4,14.31
6,Belgium,Men,66.0,68.0,2.5,92.0,78.0,499.0,19.0,81.0,79.8,76.0,6.9,1.4,5.8,15.6
7,Belgium,Total,56.0,65.0,2.3,90.0,80.0,500.0,19.0,79.0,82.1,74.0,6.8,1.1,4.3,15.52
8,Belgium,Women,47.0,61.0,2.1,87.0,81.0,501.0,20.0,77.0,84.3,72.0,6.8,0.8,2.6,15.33
9,Brazil,Men,55.0,67.0,,86.0,53.0,397.0,16.0,70.0,72.2,,6.2,35.5,7.3,
10,Brazil,Total,45.0,57.0,,83.0,57.0,400.0,16.0,70.0,75.9,,6.1,19.0,5.6,
11,Brazil,Women,34.0,47.0,,80.0,60.0,403.0,16.0,71.0,79.6,,6.0,3.3,3.6,
12,Canada,Men,88.0,73.0,0.6,93.0,91.0,512.0,17.0,94.0,80.0,90.0,7.0,1.8,5.3,14.6
13,Canada,Total,78.0,70.0,0.5,93.0,92.0,517.0,17.0,90.0,82.1,89.0,7.0,1.2,3.3,14.57
14,Canada,Women,67.0,67.0,0.4,93.0,94.0,521.0,17.0,87.0,84.2,88.0,7.0,0.7,1.2,14.47
15,Chile,Men,53.0,65.0,,88.0,67.0,436.0,17.0,64.0,77.9,64.0,6.2,4.2,9.6,
16,Chile,Total,41.0,56.0,,88.0,67.0,438.0,17.0,62.0,80.6,60.0,6.2,2.4,7.7,
17,Chile,Women,30.0,47.0,,88.0,68.0,439.0,18.0,60.0,83.4,56.0,6.1,0.7,5.0,
18,Colombia,Men,54.0,71.0,0.7,76.0,56.0,409.0,14.0,80.0,73.5,84.0,5.7,43.0,28.2,
19,Colombia,Total,50.0,58.0,1.1,80.0,59.0,406.0,14.0,82.0,76.7,80.0,5.7,23.1,23.7,
20,Colombia,Women,45.0,45.0,1.6,83.0,61.0,402.0,14.0,83.0,79.9,78.0,5.7,4.1,17.1,
21,Costa Rica,Men,59.0,68.0,0.8,80.0,41.0,417.0,,90.0,77.9,77.0,6.2,18.2,27.9,
22,Costa Rica,Total,47.0,55.0,1.5,82.0,43.0,415.0,,87.0,80.5,73.0,6.3,10.0,22.0,
23,Costa Rica,Women,36.0,41.0,2.6,85.0,44.0,413.0,,85.0,83.0,70.0,6.5,1.8,12.7,
24,Czech Republic,Men,88.0,81.0,0.5,95.0,95.0,490.0,17.0,93.0,76.4,64.0,6.9,0.8,6.7,
25,Czech Republic,Total,77.0,74.0,0.6,96.0,94.0,495.0,18.0,89.0,79.3,62.0,6.9,0.7,4.5,
26,Czech Republic,Women,67.0,67.0,0.6,97.0,93.0,501.0,18.0,86.0,82.2,61.0,6.9,0.6,2.0,
27,Denmark,Men,94.0,77.0,0.7,93.0,80.0,496.0,19.0,93.0,79.5,72.0,7.4,0.7,2.1,
28,Denmark,Total,85.0,74.0,0.9,95.0,82.0,501.0,19.0,93.0,81.5,70.0,7.5,0.5,1.1,
29,Denmark,Women,77.0,71.0,1.2,97.0,83.0,506.0,20.0,92.0,83.5,67.0,7.6,0.4,0.1,
30,Estonia,Men,90.0,76.0,1.3,93.0,87.0,521.0,17.0,86.0,74.5,59.0,6.3,3.1,3.0,15.4
31,Estonia,Total,79.0,74.0,1.2,95.0,91.0,526.0,18.0,86.0,78.8,57.0,6.5,1.9,2.2,14.98
32,Estonia,Women,71.0,72.0,1.0,97.0,94.0,530.0,18.0,86.0,83.0,54.0,6.6,0.6,1.4,14.55
33,Finland,Men,96.0,74.0,1.3,94.0,89.0,503.0,19.0,96.0,79.3,69.0,7.7,1.8,5.2,15.3
34,Finland,Total,88.0,72.0,1.2,96.0,91.0,516.0,20.0,97.0,82.1,68.0,7.9,1.2,3.6,15.17
35,Finland,Women,80.0,71.0,1.1,98.0,94.0,530.0,20.0,97.0,84.8,68.0,8.1,0.7,2.1,15.05
36,France,Men,78.0,68.0,3.0,92.0,81.0,490.0,16.0,78.0,79.9,69.0,6.8,0.6,10.2,16.4
37,France,Total,74.0,65.0,2.9,94.0,81.0,494.0,17.0,78.0,82.9,67.0,6.7,0.4,7.7,16.2
